"item_no","operator","inclusive_alert","previous_only_alert","inclusive_length_alert","previous_only_length_alert","inclusive_width_alert","previous_only_width_alert","inclusive_height_alert","previous_only_height_alert"
11,"Op-1",False,True,False,False,False,True,False,False
12,"Op-1",False,True,False,False,False,False,False,True
16,"Op-1",False,True,False,False,False,True,False,False
18,"Op-1",False,True,False,False,False,False,False,True
19,"Op-1",False,True,False,False,False,True,False,False
20,"Op-1",False,True,False,True,False,False,False,True
21,"Op-1",True,False,False,False,False,False,True,False
25,"Op-1",False,True,False,False,False,True,False,False
32,"Op-2",False,True,False,False,False,True,False,True
37,"Op-2",False,True,False,True,False,True,False,False
47,"Op-2",True,False,False,False,False,False,True,False
51,"Op-2",False,True,False,True,False,False,False,False
62,"Op-3",False,True,False,False,False,True,False,False
63,"Op-3",False,True,False,False,False,False,False,True
67,"Op-3",False,True,False,False,False,True,False,False
69,"Op-3",False,True,False,False,False,False,False,True
70,"Op-3",False,True,False,False,False,True,False,False
71,"Op-3",False,True,False,True,False,False,False,True
72,"Op-3",True,False,False,False,False,False,True,False
76,"Op-3",False,True,False,False,False,True,False,False
77,"Op-3",False,True,False,False,False,False,False,True
80,"Op-3",False,True,False,True,False,True,False,False
90,"Op-4",True,False,False,False,False,False,True,False
94,"Op-4",False,True,False,True,False,False,False,False
96,"Op-4",False,True,False,False,False,True,False,False
111,"Op-5",True,False,False,False,False,False,True,False
115,"Op-5",False,True,False,True,False,False,False,False
117,"Op-5",False,True,False,False,False,True,False,False
126,"Op-5",False,True,False,False,False,True,False,False
132,"Op-5",True,False,False,False,False,False,True,False
141,"Op-6",False,True,False,False,False,True,False,True
143,"Op-6",False,True,False,True,False,False,False,False
147,"Op-6",False,True,False,True,False,False,False,False
149,"Op-6",False,True,False,True,False,False,False,True
151,"Op-6",False,True,False,True,False,False,False,True
152,"Op-6",False,True,False,True,False,False,False,False
159,"Op-7",False,True,False,True,False,False,False,False
160,"Op-7",False,True,False,False,False,False,False,True
162,"Op-7",False,True,False,False,False,False,False,True
164,"Op-7",False,True,False,False,False,False,False,True
166,"Op-7",False,True,False,False,False,False,False,True
167,"Op-7",False,True,False,True,False,True,False,False
170,"Op-7",False,True,False,False,False,True,False,False
172,"Op-7",True,False,False,False,False,False,True,False
174,"Op-7",False,True,False,False,False,False,False,True
177,"Op-7",False,True,False,False,False,True,False,False
183,"Op-7",False,True,False,True,False,True,False,False
184,"Op-7",False,True,False,True,False,True,False,False
185,"Op-7",False,True,False,True,False,False,False,False
199,"Op-8",False,True,False,False,False,False,False,True
203,"Op-8",False,True,False,False,False,True,False,True
204,"Op-8",False,True,False,False,False,True,False,False
212,"Op-9",False,True,False,False,False,True,False,True
215,"Op-9",False,True,False,False,False,False,False,True
217,"Op-9",False,True,False,True,False,False,False,False
218,"Op-9",False,True,False,True,False,True,False,False
220,"Op-9",False,True,False,False,False,True,False,False
221,"Op-9",True,False,False,False,False,False,True,False
222,"Op-9",False,True,False,True,False,False,False,False
223,"Op-9",False,True,False,True,False,False,False,False
225,"Op-9",False,True,False,False,False,True,False,False
227,"Op-9",False,True,False,False,False,False,False,True
230,"Op-9",False,True,False,False,False,True,False,False
231,"Op-9",False,True,False,False,False,False,False,True
232,"Op-9",False,True,False,False,False,False,False,True
235,"Op-9",False,True,False,True,False,True,False,False
237,"Op-9",False,True,False,False,False,False,False,True
239,"Op-9",False,True,False,False,False,False,False,True
248,"Op-10",False,True,False,False,False,True,False,False
