"operator","analyzed_items","length_alerts","width_alerts","height_alerts","overall_alerts","alert_rate_percentage"
"Op-6",13,7,4,4,11,84.62
"Op-10",25,8,12,7,20,80.00
"Op-14",30,10,8,9,23,76.67
"Op-12",15,4,5,4,11,73.33
"Op-9",30,9,11,11,22,73.33
"Op-11",11,4,3,3,8,72.73
"Op-16",20,6,7,7,14,70.00
"Op-13",16,5,4,2,11,68.75
"Op-19",16,5,4,6,11,68.75
"Op-1",21,6,8,5,14,66.67
"Op-3",24,7,9,6,16,66.67
"Op-7",28,9,8,9,18,64.29
"Op-20",16,7,4,4,10,62.50
"Op-18",24,8,8,5,14,58.33
"Op-15",14,5,0,4,8,57.14
"Op-17",18,6,3,3,9,50.00
"Op-8",15,2,3,3,7,46.67
"Op-5",28,6,9,2,13,46.43
"Op-2",20,5,5,4,9,45.00
"Op-4",16,3,5,1,7,43.75
